Accela,Lawa,WaitakiTable5
Irrigation,Irrigation,Agriculture & Horticulture
Amenity - non-consumptive,Other,Other Activities
Aquaculture,Industrial,Industrial & Commercial
Artifical Lake/pond,Other,Other Activities
Augment Flow/Wetland/Aquifer,Other,Other Activities
Construction,Industrial,Industrial & Commercial
Dairy Shed (Washdown/Cooling),Stock,Agriculture & Horticulture
Dewatering - Long-Term,Other,Other Activities
Dewatering - Temporary,Other,Other Activities
De-watering - Long-Term,Other,Other Activities
De-watering - Temporary,Other,Other Activities
Domestic Use,Drinking,Town & Community
Drainage,Other,Other Activities
Firefighting,Other,Other Activities
Fisheries/Wildlife Management,Other,Other Activities
Flood Control,Other,Other Activities
Frost Protection,Frost Protection,Agriculture & Horticulture
Gravel Extraction/Processing,Industrial,Industrial & Commercial
Heat exchange - HVAC,Industrial,Industrial & Commercial
Heat exchange - non HVAC,Industrial,Industrial & Commercial
Manufacturing - Beverage,Industrial,Industrial & Commercial
Manufacturing - Food Products,Industrial,Industrial & Commercial
Manufacturing - Meat Processing,Industrial,Industrial & Commercial
Manufacturing - Other,Industrial,Industrial & Commercial
Manufacturing - Timber processing,Industrial,Industrial & Commercial
Manufacturing - Vege processing,Industrial,Industrial & Commercial
Manufacturing - Water Bottling,Industrial,Industrial & Commercial
Intensive (Shed) Farming - Beef,Stock,Agriculture & Horticulture
Intensive (Shed) Farming - Dairy,Stock,Agriculture & Horticulture
Intensive (shed) Farming - Other,Stock,Agriculture & Horticulture
Intensive (shed) Farming - Pork,Stock,Agriculture & Horticulture
Intensive (shed) Farming - Poultry,Stock,Agriculture & Horticulture
Landfill,Industrial,Industrial & Commercial
Mining,Industrial,Industrial & Commercial
Potable Supply,Drinking,Town & Community
Power Generation,Hydro,Hydro electricity generation
Public Water Supply,Drinking,Town & Community
Research (incl testing),Other,Other Activities
Scheme - Irrigation,Irrigation,Agriculture & Horticulture
Scheme - Stockwater,Stock,Agriculture & Horticulture
Snow Making,Other,Tourism & Recreation
Stockwater,Stock,Agriculture & Horticulture
Stormwater,Other,Other Activities
Waste Water,Other,Other Activities
Water Storage - From,Irrigation,Agriculture & Horticulture
Water Storage - To,Irrigation,Agriculture & Horticulture
Swimming Pool,Other,Tourism & Recreation
Re-Alignment of stream,Other,Other Activities
Mahinga Kai,Other,Mahinga Kai
REVIEW,Other,Other Activities
